observationURI,sequenceNumber,obsID,collection,observationID,algorithm_name,type,intent
b'caom:CFHT/210135',210135.0,b'00000000-0000-0000-daf6-11de473f9a66',b'CFHT',b'210135',b'exposure',b'OBJECT',b'calibration'
b'caom:DAO/dao_c182_2016_010135',,b'00000000-0000-0000-0599-015779849ee4',b'DAO',b'dao_c182_2016_010135',b'exposure',b'object',b'science'
b'caom:CFHT/2101358',2101358.0,b'00000000-0000-0000-8b13-015bcb588247',b'CFHT',b'2101358',b'exposure',b'OBJECT',b'science'
b'caom:CFHT/1210135',1210135.0,b'00000000-0000-0000-6804-013d0beb1b5d',b'CFHT',b'1210135',b'exposure',b'FLAT',b'calibration'
b'caom:CFHT/1710135',1710135.0,b'00000000-0000-0000-64c2-0145f5fcc2bb',b'CFHT',b'1710135',b'exposure',b'OBJECT',b'science'
b'caom:CFHT/2010135',2010135.0,b'00000000-0000-0000-6417-0158010f3480',b'CFHT',b'2010135',b'exposure',b'OBJECT',b'science'
b'caom:MACHO/10135',10135.0,b'00000000-0000-0000-dd6c-febf9ea9bd36',b'MACHO',b'10135',b'exposure',b'object',b'science'
b'caom:DAO/dao_c122_2004_010135',,b'00000000-0000-0000-ea8a-0167137e3070',b'DAO',b'dao_c122_2004_010135',b'exposure',b'bias',b'calibration'
b'caom:JCMT/mxu01@930222_010135_ukt_0015',,b'00000000-0000-0000-3ae1-01440f971964',b'JCMT',b'mxu01@930222_010135_ukt_0015',b'exposure',b'',b'science'
b'caom:CFHT/2210135',2210135.0,b'00000000-0000-0000-9069-015f2aefc9bb',b'CFHT',b'2210135',b'exposure',b'OBJECT',b'science'
b'caom:TESS/tess2018206045859-s0001-0000000471013571-0120-s',1.0,b'00000000-0000-0000-905c-412b6fd1d364',b'TESS',b'tess2018206045859-s0001-0000000471013571-0120-s',b'timeseries',b'',b'science'
b'caom:TESS/tess2018206045859-s0001-0000000471013572-0120-s',1.0,b'00000000-0000-0000-b043-9e4740f9e6a6',b'TESS',b'tess2018206045859-s0001-0000000471013572-0120-s',b'timeseries',b'',b'science'
b'caom:JCMT/acsis_00038_20161107T101350',38.0,b'00000000-0000-0000-3000-40b6fba68491',b'JCMT',b'acsis_00038_20161107T101350',b'exposure',b'pointing',b'calibration'
b'caom:JCMT/m02bc14@021102_101351_das_0132',,b'00000000-0000-0000-3ae1-014410d62918',b'JCMT',b'm02bc14@021102_101351_das_0132',b'exposure',b'',b'science'
b'caom:TESS/tess2018206045859-s0001-0000000471013513-0120-s',1.0,b'00000000-0000-0000-ba41-daa1f06558af',b'TESS',b'tess2018206045859-s0001-0000000471013513-0120-s',b'timeseries',b'',b'science'
b'caom:TESS/tess2018206045859-s0001-0000000471013524-0120-s',1.0,b'00000000-0000-0000-a5bd-af2270c27e1e',b'TESS',b'tess2018206045859-s0001-0000000471013524-0120-s',b'timeseries',b'',b'science'
b'caom:TESS/tess2018206045859-s0001-0000000471013582-0120-s',1.0,b'00000000-0000-0000-8497-46693e11b50f',b'TESS',b'tess2018206045859-s0001-0000000471013582-0120-s',b'timeseries',b'',b'science'
b'caom:TESS/tess2018206045859-s0001-0000000471013512-0120-s',1.0,b'00000000-0000-0000-a56d-e2dc08542cb2',b'TESS',b'tess2018206045859-s0001-0000000471013512-0120-s',b'timeseries',b'',b'science'
b'caom:JCMT/DAS_00034_20040711T101358',34.0,b'00000000-0000-0000-5d69-05026d8b1252',b'JCMT',b'DAS_00034_20040711T101358',b'exposure',b'scan',b'science'
b'caom:JCMT/scuba2_00024_20140921T101355',24.0,b'00000000-0000-0000-6075-03bde00f5731',b'JCMT',b'scuba2_00024_20140921T101355',b'exposure',b'setup',b'calibration'
b'caom:CFHT/1810135',1810135.0,b'00000000-0000-0000-8566-014db2b1eb87',b'CFHT',b'1810135',b'exposure',b'FLAT',b'calibration'
b'caom:JCMT/acsis_00033_20140113T101356',33.0,b'00000000-0000-0000-e8b9-efde484d39df',b'JCMT',b'acsis_00033_20140113T101356',b'exposure',b'focus',b'calibration'
